"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"160091_at",12,12,14,14,4,12
"95420_at",6,6,3,3,2,14
"93346_at",14,1,14,14,10,10
"95147_at",6,6,3,6,2,14
"101585_at",3,6,9,9,5,14
"98056_at",6,11,13,13,1,5
"102907_at",11,5,11,11,13,13
"92311_s_at",8,6,11,11,1,14
"94119_at",3,13,1,7,2,2
"97448_at",3,13,9,9,2,2
"102696_s_at",8,8,7,7,14,11
"160169_at",13,8,13,13,14,11
"100607_at",6,6,9,1,2,14
"103855_at",7,7,11,11,6,6
"94445_at",5,4,1,1,13,9
"97699_at",13,8,13,13,9,11
"160311_at",6,6,9,9,2,14
"93360_at",13,13,3,3,9,2
"94239_at",3,13,1,1,2,2
"97237_at",13,13,3,3,1,2
"98081_at",9,12,9,9,10,12
"104279_at",2,8,10,10,14,11
"93551_at",4,9,10,3,12,4
"94014_at",2,13,10,10,2,2
"101207_at",14,14,5,5,10,10
"100089_at",7,7,1,1,6,1
"100088_at",13,8,13,13,2,11
"160078_at",4,5,10,3,9,13
"101101_at",3,6,9,9,5,1
"92573_at",13,13,10,3,2,2
"99608_at",8,2,2,2,12,8
"100332_s_at",11,6,1,1,5,1
"93774_at",7,5,13,13,13,13
"96852_at",4,5,9,9,9,13
"100684_at",6,11,13,13,1,5
"100606_at",5,5,7,7,13,13
"104728_at",8,8,2,2,1,11
"97395_at",13,8,3,6,2,11
"102017_at",8,13,11,11,2,2
"96278_at",3,6,9,9,1,14
"94238_at",5,4,8,8,13,9
"97114_at",13,12,13,13,4,8
"100733_at",2,13,12,12,12,2
"92544_f_at",2,2,14,14,12,8
"97459_at",2,8,10,10,11,11
"93988_at",9,4,10,10,12,9
"160875_at",13,12,3,3,10,12
"94263_f_at",2,8,14,14,5,11
"100225_f_at",13,2,3,6,12,8
"92645_at",4,5,7,7,9,13
"94302_at",2,13,14,14,5,2
"103350_at",2,8,10,14,1,11
"98522_at",13,3,3,3,6,7
"160614_at",11,3,7,7,9,1
"94259_at",2,2,10,14,2,8
"100718_at",14,14,12,5,3,10
"95723_r_at",2,5,10,14,13,13
"99599_s_at",13,8,13,6,2,11
"94489_at",2,3,12,14,9,7
"100595_at",4,4,13,13,9,7
